"""Kabupaten"",""jumlah penduduk"",""KRT perempuan"",""jumlah anak tidak sekolah 7-18th"",""jumlah indiv yg cacat"",""jumlah indiv penyakit kronis"",""jumlah indiv tdk bekerja"",""sumber air minum tdk terlindung"",""penerangan tdk listrik"",""bahan bakar masak minyak tanah + kayu"",""BAB tdk ada jamban"""
"CILACAP,""5.1911"",""5.6674"",""5.0805"",""5.4427"",""5.2162"",""6.0478"",""11.4670"",""9.7802"",""5.5523"",""5.1232"""
"BANYUMAS,""5.7069"",""4.4683"",""5.1820"",""5.5143"",""5.0225"",""6.2057"",""7.3910"",""6.9579"",""5.9753"",""8.2195"""
"PURBALINGGA,""3.3037"",""2.1940"",""3.8037"",""3.1321"",""3.7251"",""3.3351"",""8.7067"",""7.4050"",""3.2119"",""4.6494"""
"BANJARNEGARA,""2.7280"",""2.3447"",""3.7636"",""2.7964"",""2.5699"",""2.9875"",""3.3064"",""5.4490"",""4.2084"",""6.0548"""
"KEBUMEN,""4.1676"",""2.5532"",""3.2590"",""4.1571"",""3.1475"",""4.1545"",""4.2996"",""9.2865"",""4.6111"",""4.3417"""
"PURWOREJO,""1.8730"",""2.1243"",""1.4772"",""3.0464"",""1.7753"",""1.8259"",""5.0047"",""4.8994"",""3.1176"",""2.0948"""
"WONOSOBO,""2.1285"",""1.9517"",""3.0027"",""1.7759"",""1.6206"",""2.0561"",""0.4515"",""2.3193"",""3.5725"",""0.8376"""
"MAGELANG,""3.9533"",""3.0128"",""4.2167"",""4.1521"",""3.0068"",""3.6430"",""1.4404"",""3.3532"",""5.6888"",""3.6729"""
"BOYOLALI,""2.1933"",""3.0735"",""1.6101"",""2.7430"",""2.1056"",""1.8248"",""1.7112"",""2.3379"",""3.4050"",""1.5460"""
"KLATEN,""3.8381"",""5.1534"",""1.9343"",""4.6407"",""4.0376"",""3.7817"",""8.7110"",""4.4523"",""3.9888"",""3.0886"""
"SUKOHARJO,""2.0418"",""2.5326"",""0.9998"",""2.3954"",""2.2535"",""1.7842"",""2.2272"",""0.4098"",""1.3898"",""0.7963"""
"WONOGIRI,""2.2178"",""2.3557"",""1.6627"",""3.2484"",""2.6124"",""1.7597"",""1.4017"",""2.6360"",""3.9399"",""0.5759"""
"KARANGANYAR,""3.7926"",""1.9486"",""1.2179"",""2.0450"",""1.8092"",""1.7214"",""1.9778"",""1.3599"",""2.1964"",""0.9327"""
"SRAGEN,""1.8068"",""2.1944"",""1.1230"",""2.1632"",""1.4732"",""1.4983"",""1.1523"",""2.0585"",""2.4358"",""0.7818"""
